Type,Step Size,Goal Bias,Spacing,Steepness,Path Length,Path Nodes,Smooth Length,Smooth Nodes,Total Nodes,Time Taken,Obstacles
Speedy,2,0.37,0.5,12,105.08047452778577,61,96.12905960473643,63,1233,4.437833786010742,19
Normal,2,0,0,12,101.52900433900216,60,92.17415165382496,62,2949,8.399343729019165,19
Spaced,2,0,0.5,12,102.73398478313587,60,94.3755601828683,62,2974,11.43161678314209,19
Greedy,2,0.37,0,12,104.59981068110235,62,96.37250557133481,64,2346,6.837210416793823,19
Speedy,2,0.37,0.5,12,94.03778924942152,51,87.54361363263905,53,535,2.2740509510040283,19
Normal,2,0,0,12,113.11045822290434,65,103.93456304329325,67,3331,10.046417236328125,19
Spaced,2,0,0.5,12,96.98263780333043,52,85.58853157878521,54,1629,5.575496196746826,19
Greedy,2,0.37,0,12,106.23493373505475,65,94.39007804940212,67,2483,7.411725282669067,19
Speedy,2,0.37,0.5,12,105.52332133262536,64,97.2388602532839,66,2775,13.515989303588867,19
Normal,2,0,0,12,96.46589026749285,57,85.74305395782366,59,3164,8.877849578857422,19
Spaced,2,0,0.5,12,116.55670597868667,70,103.9944223347904,72,2747,11.068063020706177,19
Greedy,2,0.37,0,12,95.13575376646239,51,86.39741595215234,53,853,1.9297230243682861,19
Speedy,2,0.37,0.5,12,102.78759067750603,65,92.66801242743395,67,2673,12.766155004501343,19
Normal,2,0,0,12,116.58570689496685,71,101.00481294067306,73,3523,10.821919679641724,19
Spaced,2,0,0.5,12,104.99501398207045,66,94.58031811641634,68,2597,9.979029417037964,19
Greedy,2,0.37,0,12,100.91908295900103,60,92.2642043270342,62,1412,3.4985227584838867,19
Speedy,2,0.37,0.5,12,103.27722471444558,63,93.19669763743347,65,2481,11.385433912277222,19
Normal,2,0,0,12,104.66830975864664,57,95.96490877300269,59,852,2.013852596282959,19
Spaced,2,0,0.5,12,97.5949551716774,61,89.63013451398194,63,3704,16.6967613697052,19
Greedy,2,0.37,0,12,111.85702474678754,61,101.93163806543919,63,575,1.4121055603027344,19
Speedy,2,0.37,0.5,12,95.62582146580259,52,90.20622492956103,54,1300,5.735966920852661,19
Normal,2,0,0,12,107.15929441324816,65,92.1072028819937,67,3133,9.380872249603271,19
Spaced,2,0,0.5,12,95.39324035647998,52,89.38566283164424,54,732,2.5271756649017334,19
Greedy,2,0.37,0,12,99.13869888417162,53,90.01199783096085,55,360,0.911273717880249,19
Speedy,2,0.37,0.5,12,98.3065878504354,57,86.7781252419547,59,1943,8.150257110595703,19
Normal,2,0,0,12,105.13882061636438,63,93.9863765467979,65,2666,6.968519926071167,19
Spaced,2,0,0.5,12,105.6906251538569,61,97.40132270123637,63,1489,5.280450105667114,19
Greedy,2,0.37,0,12,103.08672580778598,58,95.10545325198089,60,2491,7.720317125320435,19
Speedy,2,0.37,0.5,12,103.10347551932983,62,92.59891922887506,64,2364,10.898948669433594,19
Normal,2,0,0,12,102.68491694381953,55,94.59231660879058,57,1875,4.441531658172607,19
Spaced,2,0,0.5,12,100.11683886666523,56,91.40061181197451,58,1465,4.782793998718262,19
Greedy,2,0.37,0,12,109.647195636577,62,99.06986632975371,64,2547,7.753370523452759,19
Speedy,2,0.37,0.5,12,89.35313434310245,48,85.78871883829491,50,951,3.45365834236145,19
Normal,2,0,0,12,102.61480950254958,58,94.07335206974926,60,1337,3.0512349605560303,19
Spaced,2,0,0.5,12,96.3361280701766,52,89.92556382863819,54,1628,6.027402639389038,19
Greedy,2,0.37,0,12,106.58889475003721,64,96.21881068192644,66,1567,4.432779312133789,19
Speedy,2,0.37,0.5,12,100.747902209416,55,91.64393447656452,57,629,2.590805768966675,19
Normal,2,0,0,12,103.51159465823062,54,94.42848092088511,56,880,1.922515630722046,19
Spaced,2,0,0.5,12,105.75826306477182,56,94.48010050215437,58,1487,5.02187180519104,19
Greedy,2,0.37,0,12,115.39568576636873,71,108.15147186626658,73,4422,17.82639217376709,19
Speedy,2,0.37,0.5,12,94.17914392276265,54,86.69263824592319,56,825,3.182528018951416,19
Normal,2,0,0,12,117.82405040166121,74,105.70703794218043,76,4254,14.217272281646729,19
Spaced,2,0,0.5,12,100.82277722866837,53,90.61748624859345,55,926,2.9830684661865234,19
Greedy,2,0.37,0,12,101.18409482036876,55,89.75292109076909,57,813,2.0682802200317383,19
Speedy,2,0.37,0.5,12,110.29856304780148,66,101.11119846767778,68,2253,10.140770196914673,19
Normal,2,0,0,12,104.97415783072867,63,93.79412961898134,65,3673,11.216042518615723,19
Spaced,2,0,0.5,12,102.9415328658596,59,93.2869922595912,61,2374,9.052115440368652,19
Greedy,2,0.37,0,12,101.82461840995597,59,92.6390807143039,61,1869,4.906412601470947,19
Speedy,2,0.37,0.5,12,97.27881922264814,55,90.80943937309216,57,1091,4.377257823944092,19
Normal,2,0,0,12,94.0745606915505,50,84.70479026661587,52,1171,2.6508870124816895,19
Spaced,2,0,0.5,12,104.06945315863257,57,97.34947711499416,59,784,2.580677032470703,19
Greedy,2,0.37,0,12,99.0459076479896,55,90.90920316504757,57,1947,5.352094650268555,19
Speedy,2,0.37,0.5,12,87.9835278464752,51,82.76005258868113,53,1505,5.991461753845215,19
Normal,2,0,0,12,98.815972772072,55,89.33323790624253,57,1781,4.267331123352051,19
Spaced,2,0,0.5,12,97.367546700335,56,88.58572836438233,58,2306,8.447376489639282,19
Greedy,2,0.37,0,12,103.73326650410037,58,95.53434357824959,60,1913,5.428157091140747,19
Speedy,2,0.37,0.5,12,96.4785669964503,55,89.6152083175459,57,1489,5.442473649978638,19
Normal,2,0,0,12,101.87659313462052,58,89.22832302617275,60,3205,9.136723518371582,19
Spaced,2,0,0.5,12,114.34095924489792,66,101.66499298942031,68,2137,8.013410091400146,19
Greedy,2,0.37,0,12,100.04916589877695,53,92.74166150245611,55,760,1.9388794898986816,19
Speedy,2,0.37,0.5,12,104.78002569939946,58,92.6687375381191,60,549,2.143832206726074,19
Normal,2,0,0,12,98.2690404116533,54,92.0095090118695,56,670,1.4419019222259521,19
Spaced,2,0,0.5,12,106.54391102590313,58,97.9990236700249,60,587,2.411390781402588,19
Greedy,2,0.37,0,12,95.52654219265338,51,86.53128529877846,53,761,1.7073097229003906,19
Speedy,2,0.37,0.5,12,110.57442244400862,67,101.28131276069446,69,2063,9.179842233657837,19
Normal,2,0,0,12,110.03933525992184,64,96.15864520042052,66,3707,11.608292579650879,19
Spaced,2,0,0.5,12,115.39391310998154,69,105.13403573638428,71,3334,14.21688461303711,19
